,Material,E_form,A1_rad,A2_rad,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,A1_dipole,A2_dipole,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,A1_nvalence,A2_nvalence,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,A1_nup,A2_nup,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,A1_num_d,A2_num_d,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,A1_volume,A2_volume,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,A1_ion_energy,A2_ion_energy,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,A1_electron_affinity,A2_electron_affinity,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,A1_electronegativity,A2_electronegativity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,A1_SOCC,A2_SOCC,Abar_SOCC,dA_SOCC
0,1T-Co1Au1Se4,-0.76325661,111,124,116,117.5,13,1.5,6.5,3,55,36,28.9,45.5,19,16.6,16.6,19,9,11,6,10,2,4,4,2,5,3,2,4,2,2,2,2,5,27,10,16,22,6,11,12,6.7,10.2,16.5,8.45,3.5,8.05,8.05,3.5,7.88101,9.225553,9.752392,8.5532815,1.344543,1.1991105,1.1991105,1.344543,0.66225646,2.30863,2.02067,1.48544323,1.64637354,0.53522677,0.82318677,1.07045354,0.66225646,2.30863,2.02067,1.48544323,1.64637354,0.53522677,0.82318677,1.07045354,94,5583,2838.5,-5489
1,1T-Co1Au1Te4,-0.9491346,111,124,136,117.5,13,18.5,18.5,13,55,36,38,45.5,19,7.5,9.5,15,9,11,6,10,2,4,4,2,5,3,2,4,2,2,2,2,5,27,20,16,22,4,11,8,6.7,10.2,20.5,8.45,3.5,12.05,12.05,3.5,7.88101,9.225553,9.00966,8.5532815,1.344543,0.4563785,0.6722715,0.912757,0.66225646,2.30863,1.970876,1.48544323,1.64637354,0.48543277,0.82318677,0.97086554,0.66225646,2.30863,1.970876,1.48544323,1.64637354,0.48543277,0.82318677,0.97086554,94,5583,2838.5,-5489
2,1T-Co1Cu1S4,0.40948986,111,112,103,111.5,1,8.5,8.5,1,55,46.5,19.4,50.75,8.5,31.35,31.35,8.5,9,11,6,10,2,4,4,2,5,3,2,4,2,2,2,2,5,7,0,6,2,6,6,2,6.7,7.1,15.5,6.9,0.4,8.6,8.6,0.4,7.88101,7.72638,10.36001,7.803695,0.15463,2.556315,2.556315,0.15463,0.66225646,1.235,2.07710403,0.94862823,0.57274354,1.1284758,1.1284758,0.57274354,0.66225646,1.235,2.07710403,0.94862823,0.57274354,1.1284758,1.1284758,0.57274354,94,952,523,-858
3,1T-Co1Cu1Se4,-0.14574511,111,112,116,111.5,1,4.5,4.5,1,55,46.5,28.9,50.75,8.5,21.85,21.85,8.5,9,11,6,10,2,4,4,2,5,3,2,4,2,2,2,2,5,7,10,6,2,4,4,2,6.7,7.1,16.5,6.9,0.4,9.6,9.6,0.4,7.88101,7.72638,9.752392,7.803695,0.15463,1.948697,1.948697,0.15463,0.66225646,1.235,2.02067,0.94862823,0.57274354,1.07204177,1.07204177,0.57274354,0.66225646,1.235,2.02067,0.94862823,0.57274354,1.07204177,1.07204177,0.57274354,94,952,523,-858
4,1T-Co1Hg1S4,0.7442804,111,133,103,122,22,19,19,22,55,33.91,19.4,44.455,21.09,25.055,25.055,21.09,9,12,6,10.5,3,4.5,4.5,3,5,2,2,3.5,3,1.5,1.5,3,5,28,0,16.5,23,16.5,16.5,23,6.7,14.8,15.5,10.75,8.1,4.75,4.75,8.1,7.88101,10.437504,10.36001,9.159257,2.556494,1.200753,1.278247,2.401506,0.66225646,0,2.07710403,0.33112823,0.66225646,1.7459758,1.7459758,0.66225646,0.66225646,0,2.07710403,0.33112823,0.66225646,1.7459758,1.7459758,0.66225646,94,6400,3247,-6306
5,1T-Co1Hg1Se4,-0.21143426,111,133,116,122,22,6,11,12,55,33.91,28.9,44.455,21.09,15.555,15.555,21.09,9,12,6,10.5,3,4.5,4.5,3,5,2,2,3.5,3,1.5,1.5,3,5,28,10,16.5,23,6.5,11.5,13,6.7,14.8,16.5,10.75,8.1,5.75,5.75,8.1,7.88101,10.437504,9.752392,9.159257,2.556494,0.593135,1.278247,1.18627,0.66225646,0,2.02067,0.33112823,0.66225646,1.68954177,1.68954177,0.66225646,0.66225646,0,2.02067,0.33112823,0.66225646,1.68954177,1.68954177,0.66225646,94,6400,3247,-6306
6,1T-Co1Hg1Te4,-0.4303872,111,133,136,122,22,14,14,22,55,33.91,38,44.455,21.09,6.455,10.545,12.91,9,12,6,10.5,3,4.5,4.5,3,5,2,2,3.5,3,1.5,1.5,3,5,28,20,16.5,23,3.5,11.5,7,6.7,14.8,20.5,10.75,8.1,9.75,9.75,8.1,7.88101,10.437504,9.00966,9.159257,2.556494,0.149597,1.278247,0.299194,0.66225646,0,1.970876,0.33112823,0.66225646,1.63974777,1.63974777,0.66225646,0.66225646,0,1.970876,0.33112823,0.66225646,1.63974777,1.63974777,0.66225646,94,6400,3247,-6306
7,1T-Co1Mo1S4,-2.72027943,111,138,103,124.5,27,21.5,21.5,27,55,87,19.4,71,32,51.6,51.6,32,9,6,6,7.5,3,1.5,1.5,3,5,2,2,3.5,3,1.5,1.5,3,5,12,0,8.5,7,8.5,8.5,7,6.7,9.4,15.5,8.05,2.7,7.45,7.45,2.7,7.88101,7.09243,10.36001,7.48672,0.78858,2.87329,2.87329,0.78858,0.66225646,0.748,2.07710403,0.70512823,0.08574354,1.3719758,1.3719758,0.08574354,0.66225646,0.748,2.07710403,0.70512823,0.08574354,1.3719758,1.3719758,0.08574354,94,901,497.5,-807
8,1T-Co1Ni1S4,-0.89299889,111,110,103,110.5,1,7.5,7.5,1,55,49,19.4,52,6,32.6,32.6,6,9,10,6,9.5,1,3.5,3.5,1,5,4,2,4.5,1,2.5,2.5,1,5,6,0,5.5,1,5.5,5.5,1,6.7,6.6,15.5,6.65,0.1,8.85,8.85,0.1,7.88101,7.639877,10.36001,7.7604435,0.241133,2.5995665,2.5995665,0.241133,0.66225646,1.156,2.07710403,0.90912823,0.49374354,1.1679758,1.1679758,0.49374354,0.66225646,1.156,2.07710403,0.90912823,0.49374354,1.1679758,1.1679758,0.49374354,94,736,415,-642
9,1T-Co1Ni1Te4,-0.99871776,111,110,136,110.5,1,25.5,25.5,1,55,49,38,52,6,14,14,6,9,10,6,9.5,1,3.5,3.5,1,5,4,2,4.5,1,2.5,2.5,1,5,6,20,5.5,1,14.5,14.5,1,6.7,6.6,20.5,6.65,0.1,13.85,13.85,0.1,7.88101,7.639877,9.00966,7.7604435,0.241133,1.2492165,1.2492165,0.241133,0.66225646,1.156,1.970876,0.90912823,0.49374354,1.06174777,1.06174777,0.49374354,0.66225646,1.156,1.970876,0.90912823,0.49374354,1.06174777,1.06174777,0.49374354,94,736,415,-642
