,Material,sign_MA,log_MA,A1_rad,A2_rad,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,A1_dipole,A2_dipole,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,A1_nvalence,A2_nvalence,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,A1_nup,A2_nup,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,A1_num_d,A2_num_d,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,A1_volume,A2_volume,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,A1_ion_energy,A2_ion_energy,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,A1_electron_affinity,A2_electron_affinity,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,A1_electronegativity,A2_electronegativity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,A1_SOCC,A2_SOCC,Abar_SOCC,dA_SOCC
13,1T-Co1Pd1S4,-1,-8.260537498,111,120,103,115.5,9,12.5,12.5,9,55,26.14,19.4,40.57,28.86,21.17,21.17,28.86,9,12,6,10.5,3,4.5,4.5,3,5,4,2,4.5,1,2.5,2.5,1,5,16,0,10.5,11,10.5,10.5,11,6.7,8.9,15.5,7.8,2.2,7.7,7.7,2.2,7.88101,8.33686,10.36001,8.108935,0.45585,2.251075,2.251075,0.45585,0.66225646,0.562,2.07710403,0.61212823,0.10025646,1.4649758,1.4649758,0.10025646,0.66225646,0.562,2.07710403,0.61212823,0.10025646,1.4649758,1.4649758,0.10025646,94,1548,821,-1454
30,1T-Cr1Ag1S4,1,-6.346004629,122,128,103,125,6,22,22,6,83,55,19.4,69,28,49.6,49.6,28,6,11,6,8.5,5,2.5,2.5,5,2,3,2,2.5,1,0.5,0.5,1,2,17,0,9.5,15,9.5,9.5,15,7.23,10.3,15.5,8.765,3.07,6.735,6.735,3.07,6.76651,7.576234,10.36001,7.171372,0.809724,3.188638,3.188638,0.809724,0.666,1.302,2.07710403,0.984,0.636,1.09310403,1.09310403,0.636,0.666,1.302,2.07710403,0.984,0.636,1.09310403,1.09310403,0.636,298,1915,1106.5,-1617
31,1T-Cr1Au1S4,-1,-8.043820245,122,124,103,123,2,20,20,2,83,36,19.4,59.5,47,40.1,40.1,47,6,11,6,8.5,5,2.5,2.5,5,2,3,2,2.5,1,0.5,0.5,1,2,27,0,14.5,25,14.5,14.5,25,7.23,10.2,15.5,8.715,2.97,6.785,6.785,2.97,6.76651,9.225553,10.36001,7.9960315,2.459043,2.3639785,2.3639785,2.459043,0.666,2.30863,2.07710403,1.487315,1.64263,0.58978903,0.821315,1.17957806,0.666,2.30863,2.07710403,1.487315,1.64263,0.58978903,0.821315,1.17957806,298,5583,2940.5,-5285
32,1T-Cr1Au1Se4,-1,-6.410103045,122,124,116,123,2,7,7,2,83,36,28.9,59.5,47,30.6,30.6,47,6,11,6,8.5,5,2.5,2.5,5,2,3,2,2.5,1,0.5,0.5,1,2,27,10,14.5,25,4.5,12.5,9,7.23,10.2,16.5,8.715,2.97,7.785,7.785,2.97,6.76651,9.225553,9.752392,7.9960315,2.459043,1.7563605,1.7563605,2.459043,0.666,2.30863,2.02067,1.487315,1.64263,0.533355,0.821315,1.06671,0.666,2.30863,2.02067,1.487315,1.64263,0.533355,0.821315,1.06671,298,5583,2940.5,-5285
35,1T-Cr1Cd1Te4,-1,-7.081216207,122,136,136,129,14,7,7,14,83,46,38,64.5,37,26.5,26.5,37,6,12,6,9,6,3,3,6,2,2,2,2,0,0,0,0,2,18,20,10,16,10,10,16,7.23,13.1,20.5,10.165,5.87,10.335,10.335,5.87,6.76651,8.993822,9.00966,7.880166,2.227312,1.129494,1.129494,2.227312,0.666,0,1.970876,0.333,0.666,1.637876,1.637876,0.666,0.666,0,1.970876,0.333,0.666,1.637876,1.637876,0.666,298,2007,1152.5,-1709
36,1T-Cr1Co1S4,1,-10.30307,122,111,103,116.5,11,13.5,13.5,11,83,55,19.4,69,28,49.6,49.6,28,6,9,6,7.5,3,1.5,1.5,3,2,5,2,3.5,3,1.5,1.5,3,2,5,0,3.5,3,3.5,3.5,3,7.23,6.7,15.5,6.965,0.53,8.535,8.535,0.53,6.76651,7.88101,10.36001,7.32376,1.1145,3.03625,3.03625,1.1145,0.666,0.66225646,2.07710403,0.66412823,0.00374354,1.4129758,1.4129758,0.00374354,0.666,0.66225646,2.07710403,0.66412823,0.00374354,1.4129758,1.4129758,0.00374354,298,94,196,204
38,1T-Cr1Cu1Se4,1,-9.926142243,122,112,116,117,10,1,5,2,83,46.5,28.9,64.75,36.5,35.85,35.85,36.5,6,11,6,8.5,5,2.5,2.5,5,2,3,2,2.5,1,0.5,0.5,1,2,7,10,4.5,5,5.5,5.5,5,7.23,7.1,16.5,7.165,0.13,9.335,9.335,0.13,6.76651,7.72638,9.752392,7.246445,0.95987,2.505947,2.505947,0.95987,0.666,1.235,2.02067,0.9505,0.569,1.07017,1.07017,0.569,0.666,1.235,2.02067,0.9505,0.569,1.07017,1.07017,0.569,298,952,625,-654
39,1T-Cr1Hf1Se4,1,-7.165710279,122,152,116,137,30,21,21,30,83,103,28.9,93,20,64.1,64.1,20,6,4,6,5,2,1,1,2,2,0,2,1,2,1,1,2,2,20,10,11,18,1,9,2,7.23,13.6,16.5,10.415,6.37,6.085,6.085,6.37,6.76651,6.82507,9.752392,6.79579,0.05856,2.956602,2.956602,0.05856,0.666,0.014,2.02067,0.34,0.652,1.68067,1.68067,0.652,0.666,0.014,2.02067,0.34,0.652,1.68067,1.68067,0.652,298,1974,1136,-1676
41,1T-Cr1Hg1Se4,1,-8.153540151,122,133,116,127.5,11,11.5,11.5,11,83,33.91,28.9,58.455,49.09,29.555,29.555,49.09,6,12,6,9,6,3,3,6,2,2,2,2,0,0,0,0,2,28,10,15,26,5,13,10,7.23,14.8,16.5,11.015,7.57,5.485,5.485,7.57,6.76651,10.437504,9.752392,8.602007,3.670994,1.150385,1.835497,2.30077,0.666,0,2.02067,0.333,0.666,1.68767,1.68767,0.666,0.666,0,2.02067,0.333,0.666,1.68767,1.68767,0.666,298,6400,3349,-6102
42,1T-Cr1Hg1Te4,1,-7.018658907,122,133,136,127.5,11,8.5,8.5,11,83,33.91,38,58.455,49.09,20.455,24.545,40.91,6,12,6,9,6,3,3,6,2,2,2,2,0,0,0,0,2,28,20,15,26,5,13,10,7.23,14.8,20.5,11.015,7.57,9.485,9.485,7.57,6.76651,10.437504,9.00966,8.602007,3.670994,0.407653,1.835497,0.815306,0.666,0,1.970876,0.333,0.666,1.637876,1.637876,0.666,0.666,0,1.970876,0.333,0.666,1.637876,1.637876,0.666,298,6400,3349,-6102
